,separation (arcsec),5 sigma contrast,mass detection limit for 57 Myr (Mjup),mass lower limit for 38 Myr (Mjup),mass upper limit for 76 Myr (Mjup),mass detection limit for 100 Myr (Mjup),mass lower limit for 40 Myr (Mjup),mass upper limit for 600 Myr (Mjup)
0,0.098000005,0.00046732428,31.604727,18.079525,37.888863,43.14456,17.65362,87.62239
1,0.11025,0.00045535443,31.026615,17.26315,37.42091,42.54837,16.672083,86.93608
2,0.1225,0.0004054568,28.755854,18.08389,35.327744,40.43141,17.87216,83.86616
3,0.13475001,0.00043997,30.26084,16.626884,36.80106,41.797817,15.928324,86.02698
4,0.147,0.0003081914,24.055897,19.36741,30.762562,35.843544,19.888138,76.78346
5,0.15925,0.0002226589,22.068153,17.068853,26.978262,30.813786,17.502724,69.57698
6,0.17150001,0.00019622003,20.604317,16.175076,25.51181,29.54373,16.575172,66.735664
7,0.18375,0.00016166607,15.738297,14.805448,23.264612,27.597488,15.153789,62.4811
8,0.19600001,0.0001128333,13.850969,12.467856,17.827253,23.98418,12.557573,56.10003
9,0.20825002,8.9075445e-05,12.780017,12.040167,14.919388,21.608671,12.147341,52.019608
10,0.2205,7.530475e-05,12.380822,11.736368,13.778781,19.754202,11.855942,49.761787
11,0.23275001,6.0448423e-05,12.05414,11.338841,12.5172825,17.188053,11.474641,46.80738
12,0.245,5.106497e-05,11.803364,11.029966,12.271962,14.722172,11.181937,44.539448
13,0.25725,4.254825e-05,11.532122,10.659115,12.030131,12.461572,10.865346,42.086426
14,0.26950002,3.6189533e-05,11.291488,10.331976,11.81559,12.266026,10.58448,40.43435
15,0.28175002,2.8977429e-05,10.96109,9.730248,11.521017,11.997533,9.996895,38.232388
16,0.294,2.4285815e-05,10.688869,9.201452,11.286921,11.784162,9.466844,36.482483
17,0.30625,2.1080572e-05,10.423471,8.775114,11.099324,11.613174,9.039002,35.080177
18,0.3185,1.8282519e-05,10.101647,8.347721,10.910577,11.441138,8.608227,33.669273
19,0.33075002,1.587607e-05,9.689908,7.947368,10.723522,11.270644,8.186472,32.27101
20,0.34300002,1.4267247e-05,9.375183,7.6478467,10.544946,11.141569,7.871641,31.24494
21,0.35525003,1.2163833e-05,8.906669,7.2007236,10.24527,10.948886,7.4016643,29.904133
22,0.3675,1.0130949e-05,8.392355,6.788626,9.75389,10.727965,6.982619,28.366837
23,0.37975,8.871944e-06,8.031796,6.5010414,9.3843975,10.567657,6.6912475,27.251312
24,0.39200002,7.6220786e-06,7.649495,6.1719646,8.956423,10.237846,6.357837,25.974842
25,0.40425003,6.664234e-06,7.318653,5.8926353,8.572015,9.815903,6.0755253,24.845915
26,0.41650003,6.183064e-06,7.1342,5.740668,8.356378,9.580448,5.9202704,24.215946
27,0.42875,5.8045443e-06,6.9833865,5.6125593,8.174597,9.38726,5.789391,23.684885
28,0.441,5.591029e-06,6.8939176,5.5365605,8.073022,9.283041,5.7117486,23.369837
29,0.45325002,5.3164385e-06,6.7736936,5.434437,7.937214,9.142995,5.6074157,22.946491
30,0.46550003,5.409386e-06,6.8150716,5.4695854,7.983956,9.1911955,5.6433244,23.092197
31,0.47775003,5.144029e-06,6.695213,5.367584,7.8483114,9.051318,5.5391173,22.669361
32,0.49,4.7611106e-06,6.5123773,5.2107167,7.6399493,8.836201,5.3788567,22.01908
33,0.50225,4.3911878e-06,6.32121,5.04857,7.424504,8.61128,5.2136292,21.339165
34,0.5145,4.1251305e-06,6.1734805,4.930943,7.258013,8.437468,5.0955405,20.834982
35,0.52675,3.7875618e-06,5.975201,4.7739434,7.0266137,8.162142,4.9342394,20.228085
36,0.53900003,3.5360827e-06,5.8166986,4.650808,6.83523,7.9309564,4.8044376,19.739706
37,0.55125004,3.4046172e-06,5.7292886,4.5829024,6.729687,7.803464,4.7328553,19.470379
38,0.56350005,3.198256e-06,5.5854654,4.4708357,6.5566745,7.59306,4.614722,19.025902
39,0.57575005,3.0025494e-06,5.443446,4.3576612,6.388713,7.3805757,4.49542,18.577028
40,0.588,2.911467e-06,5.374164,4.30245,6.306775,7.2927427,4.4372206,18.358051
41,0.60025,2.853149e-06,5.3286576,4.266186,6.252956,7.2438836,4.398993,18.214222
42,0.6125,2.7994163e-06,5.285895,4.232109,6.202382,7.1979704,4.363071,18.079065
43,0.62475,2.7089154e-06,5.211986,4.1732116,6.1164985,7.1186156,4.300985,17.845465
44,0.637,2.7479505e-06,5.2441616,4.198852,6.1530256,7.153162,4.3280134,17.94716
